kind,airline_family,route,month_bucket,hour_bucket,wind_bucket,precip_flag,freezing_flag,fog_flag,status_bucket,delayed,cancelled
arrival,united_family,ord_cmx,winter,early,low,0,0,0,scheduled,0,0
departure,united_family,cmx_ord,winter,early,moderate,0,0,0,scheduled,1,0
arrival,united_family,ord_cmx,winter,midday,high,1,1,0,scheduled,1,1
departure,united_family,cmx_ord,winter,late,high,1,1,1,scheduled,1,1
arrival,united_family,ord_cmx,winter,midday,moderate,1,0,0,active,1,0
departure,united_family,cmx_ord,winter,midday,low,0,0,0,scheduled,0,0
arrival,united_family,ord_cmx,winter,late,moderate,1,0,1,delayed,1,0
departure,united_family,cmx_ord,winter,early,extreme,1,1,1,scheduled,1,1
arrival,united_family,ord_cmx,shoulder,early,moderate,1,0,0,scheduled,1,0
departure,united_family,cmx_ord,shoulder,midday,low,0,0,0,scheduled,0,0
arrival,united_family,ord_cmx,shoulder,late,high,1,0,1,scheduled,1,0
departure,united_family,cmx_ord,shoulder,late,moderate,0,0,0,delayed,1,0
arrival,united_family,ord_cmx,summer,midday,low,0,0,0,scheduled,0,0
departure,united_family,cmx_ord,summer,midday,low,0,0,0,scheduled,0,0
arrival,united_family,ord_cmx,summer,early,moderate,1,0,0,scheduled,1,0
departure,united_family,cmx_ord,summer,late,moderate,1,0,0,scheduled,1,0
arrival,united_family,ord_cmx,summer,midday,high,1,0,1,active,1,0
departure,united_family,cmx_ord,summer,midday,high,1,0,0,delayed,1,0
arrival,other,other,winter,early,high,1,1,1,scheduled,1,1
departure,other,other,winter,late,high,1,1,1,delayed,1,1
arrival,other,other,summer,midday,low,0,0,0,scheduled,0,0
departure,other,other,summer,midday,moderate,1,0,0,scheduled,1,0
arrival,united_family,ord_cmx,winter,early,high,1,1,0,scheduled,1,1
departure,united_family,cmx_ord,winter,midday,moderate,0,0,0,active,1,0
arrival,united_family,ord_cmx,shoulder,midday,moderate,0,0,0,scheduled,0,0
departure,united_family,cmx_ord,shoulder,early,high,1,0,0,scheduled,1,0
arrival,united_family,ord_cmx,summer,late,low,0,0,0,landed,0,0
departure,united_family,cmx_ord,summer,early,low,0,0,0,scheduled,0,0
arrival,united_family,ord_cmx,winter,midday,extreme,1,1,1,delayed,1,1
departure,united_family,cmx_ord,winter,late,extreme,1,1,1,delayed,1,1
arrival,united_family,ord_cmx,shoulder,midday,moderate,1,0,0,scheduled,1,0
departure,united_family,cmx_ord,shoulder,midday,moderate,0,0,0,scheduled,0,0
arrival,united_family,ord_cmx,summer,midday,moderate,0,0,0,active,0,0
departure,united_family,cmx_ord,summer,late,high,1,0,1,scheduled,1,0
arrival,united_family,ord_cmx,winter,early,moderate,0,1,0,scheduled,1,0
departure,united_family,cmx_ord,winter,early,moderate,1,1,0,scheduled,1,1
